0,-2839149,0.00000000
5001,-2839150,-199.96000671
10001,-2839153,-600.00000000
15002,-2839158,-999.80004883
20002,-2839165,-1400.00000000
25002,-2839174,-1800.00000000
30002,-2839184,-2000.00012207
35002,-2839197,-2600.00000000
40002,-2839212,-3000.00000000
45002,-2839229,-3400.00000000
50002,-2839247,-3600.00000000
55002,-2839267,-4000.00024414
60002,-2839289,-4400.00000000
65002,-2839313,-4800.00000000
70002,-2839338,-5000.00000000
75002,-2839365,-5400.00000000
80002,-2839394,-5800.00000000
85002,-2839424,-6000.00000000
90002,-2839457,-6600.00000000
95002,-2839490,-6600.00000000
100002,-2839526,-7200.00000000
105002,-2839562,-7200.00000000
110002,-2839601,-7800.00000000
115002,-2839641,-8000.00048828
120002,-2839682,-8200.00000000
125002,-2839725,-8600.00000000
130002,-2839769,-8800.00000000
135002,-2839815,-9200.00000000
140002,-2839863,-9600.00000000
145002,-2839911,-9600.00000000
150002,-2839961,-10000.00000000
155002,-2840013,-10400.00000000
160002,-2840066,-10600.00000000
165002,-2840120,-10800.00000000
170002,-2840175,-11000.00000000
175002,-2840232,-11400.00000000
180002,-2840290,-11600.00000000
185002,-2840349,-11800.00000000
190002,-2840409,-12000.00000000
195002,-2840470,-12200.00000000
200002,-2840533,-12600.00000000
205002,-2840596,-12600.00000000
210002,-2840661,-13000.00000000
215002,-2840727,-13200.00000000
220002,-2840794,-13400.00000000
225002,-2840861,-13400.00000000
230002,-2840930,-13800.00000000
235002,-2841000,-14000.00000000
240002,-2841071,-14200.00000000
245002,-2841143,-14400.00000000
250002,-2841217,-14800.00000000
255002,-2841291,-14800.00000000
260002,-2841366,-15000.00000000
265002,-2841443,-15400.00000000
270002,-2841520,-15400.00000000
275002,-2841599,-15799.99902344
280002,-2841678,-15799.99902344
285002,-2841758,-16000.00097656
290002,-2841839,-16200.00000000
295002,-2841921,-16400.00000000
300002,-2842004,-16600.00000000
305002,-2842088,-16800.00000000
310002,-2842172,-16800.00000000
315002,-2842257,-17000.00000000
320002,-2842343,-17200.00000000
325002,-2842430,-17400.00000000
330002,-2842517,-17400.00000000
335002,-2842605,-17600.00000000
340002,-2842695,-18000.00000000
345002,-2842785,-18000.00000000
350002,-2842875,-18000.00000000
355002,-2842967,-18400.00000000
360002,-2843060,-18600.00000000
365002,-2843153,-18600.00000000
370002,-2843247,-18800.00000000
375002,-2843342,-19000.00000000
380002,-2843437,-19000.00000000
385002,-2843533,-19200.00000000
390002,-2843629,-19200.00000000
395002,-2843726,-19400.00000000
400002,-2843824,-19600.00000000
405002,-2843922,-19600.00000000
410002,-2844021,-19800.00000000
415002,-2844120,-19800.00000000
420002,-2844220,-20000.00000000
425002,-2844322,-20400.00000000
430002,-2844423,-20200.00000000
435002,-2844526,-20600.00000000
440002,-2844629,-20600.00000000
445002,-2844732,-20600.00000000
450002,-2844836,-20800.00000000
455002,-2844941,-21000.00000000
460002,-2845046,-21000.00000000
465002,-2845152,-21200.00000000
470002,-2845258,-21200.00000000
475002,-2845364,-21200.00000000
480002,-2845471,-21400.00000000
485002,-2845578,-21400.00000000
490002,-2845686,-21600.00000000
495002,-2845795,-21800.00000000
500002,-2845905,-22000.00000000
505002,-2846015,-22000.00000000
510002,-2846125,-22000.00000000
515002,-2846236,-22200.00000000
520002,-2846348,-22400.00000000
525002,-2846460,-22400.00000000
530002,-2846572,-22400.00000000
535002,-2846684,-22400.00000000
540002,-2846797,-22600.00000000
545002,-2846910,-22600.00000000
550002,-2847023,-22600.00000000
555002,-2847138,-23000.00000000
560002,-2847252,-22800.00000000
565002,-2847368,-23200.00000000
570002,-2847484,-23200.00000000
575002,-2847600,-23200.00000000
580002,-2847717,-23400.00000000
