960216,2415310,55.37503433,24.62496567,-2.46249652,-45
970220,2415437,55.36396790,24.63603210,-2.46360326,-45
980223,2415564,55.36949921,24.63050079,-2.46305013,-45
990227,2415691,55.36396790,24.63603210,-2.46360326,-45
1000230,2415818,55.36949921,24.63050079,-2.46305013,-45
1010234,2415945,55.36396790,24.63603210,-2.46360326,-45
1020237,2416072,55.36949921,24.63050079,-2.46305013,-45
1030241,2416200,55.79990387,24.20009613,-2.42000961,-44
1040243,2416327,55.37503433,24.62496567,-2.46249652,-45
1050247,2416455,55.79990387,24.20009613,-2.42000961,-44
1060250,2416583,55.80548096,24.19451904,-2.41945195,-44
1070254,2416711,55.79990387,24.20009613,-2.42000961,-44
1080257,2416839,55.80548096,24.19451904,-2.41945195,-44
1090261,2416967,55.79990387,24.20009613,-2.42000961,-44
1100263,2417094,55.37503433,24.62496567,-2.46249652,-45
1110267,2417222,55.79990387,24.20009613,-2.42000961,-44
1120270,2417350,55.80548096,24.19451904,-2.41945195,-44
1130274,2417477,55.36396790,24.63603210,-2.46360326,-45
1140277,2417605,55.80548096,24.19451904,-2.41945195,-44
1150281,2417734,56.23583984,23.76416016,-2.37641597,-44
1160283,2417862,55.81106186,24.18893814,-2.41889381,-44
1170287,2417991,56.23583984,23.76416016,-2.37641597,-44
1180290,2418120,56.24145889,23.75854111,-2.37585425,-44
1190294,2418248,55.79990387,24.20009613,-2.42000961,-44
1200297,2418377,56.24145889,23.75854111,-2.37585425,-44
1210300,2418505,55.80548096,24.19451904,-2.41945195,-44
1220303,2418633,55.80548096,24.19451904,-2.41945195,-44
1230307,2418761,55.79990387,24.20009613,-2.42000961,-44
1240310,2418890,56.24145889,23.75854111,-2.37585425,-44
1250314,2419018,55.79990387,24.20009613,-2.42000961,-44
1260317,2419147,56.24145889,23.75854111,-2.37585425,-44
1270321,2419276,56.23583984,23.76416016,-2.37641597,-44
1280323,2419406,56.68311310,23.31688690,-2.33168864,-44
1290327,2419535,56.23583984,23.76416016,-2.37641597,-44
1300330,2419664,56.24145889,23.75854111,-2.37585425,-44
1310334,2419793,56.23583984,23.76416016,-2.37641597,-44
1320337,2419922,56.24145889,23.75854111,-2.37585425,-44
1330341,2420051,56.23583984,23.76416016,-2.37641597,-44
1340343,2420180,56.24708557,23.75291443,-2.37529159,-44
1350347,2420309,56.23583984,23.76416016,-2.37641597,-44
1360350,2420438,56.24145889,23.75854111,-2.37585425,-44
1370354,2420567,56.23583984,23.76416016,-2.37641597,-44
1380357,2420697,56.67744064,23.32255936,-2.33225608,-44
1390361,2420826,56.23583984,23.76416016,-2.37641597,-44
